gene_symbol,read_count_CGctx1,read_count_CGctx2,read_count_CGctx3,read_count_CGhp1,read_count_CGhp2,read_count_CGhp3,read_count_PGctx1,read_count_PGctx2,read_count_PGctx3,read_count_PGhp1,read_count_PGhp2,read_count_PGhp3
Nrxn1,1601.57,1639.41,1551.72,1796.24,1671.38,1631.24,1666.1,1793.26,1665.09,1814.4,1669.48,1603.5
Nrxn3,376.94,430.3,371.11,349.75,373.98,365.64,392.2,402.08,406.97,355.98,344.32,336.86
Gphn,2619.56,2618.79,2504.77,2463.43,2506.34,2343.77,2474.1,2410.57,2536.59,2451.37,2474.99,2593.76
Ctsa,1934.89,1909.07,2066.92,1755.68,1746.79,1732.39,1897.43,1949.75,1966.73,1509.12,1651.82,1709.49
Creb3,659.47,633.99,672.27,652.66,650.06,592.68,637.02,681.18,677.42,596.11,645.63,676.82
Gm20765,0,0.14,0,0,0,0,0,0,0,0,0,0
Chst8,1,1,1,3,3,5,1,1.6,2,7,2,3
Btnl2,0,1,0,0,0,0,0,0,0.81,0,0,1
Bend7,219.78,202.96,205.95,206.76,224,249.64,238.87,239.12,229.95,207.95,200.73,201.98
Jrk,390.83,373.98,403.14,332.01,329.75,379,366.83,334.95,361.11,373.92,417.97,369.97
Tnfrsf17,1,2,0,0,0,0,0,1,0,0,0,0
Atp6v0a1,3932.3,3888.01,4077.66,4038.47,4137.4,3973.02,3796.63,3722.59,3715.58,3944.84,3932.7,4053.86
Slc4a11,3.99,7,6,7.99,4,2,7,6,8,6.59,6,8
Gm2956,31.45,47.95,44.26,31.75,48.68,38.47,69.56,50.99,89.99,77.97,58.43,38.27
Abcc8,1,2,2,8.02,9.96,7,3,0.99,1,3,6,6.98
Aldh3b3,0,0,0,0,2.04,2.35,0,0,0,1.4,2.99,0
Trp53i11,1596,1619.95,1811.75,1116.85,1146.94,1102.66,1390.11,1300.15,1402.37,1318.28,1290.81,1284.62
Lrrc4c,852.58,840.97,767.65,869.71,918.06,887.96,1116.95,1076.81,1130.19,1032.47,999.73,1075.69
Tnfaip6,347.31,370.93,352.32,350.38,419.01,409.62,286.81,280.69,284.6,355.49,339.16,389.81
Cndp2,1833.82,1658.19,1860.79,1641.06,1751.69,1647.19,1703.85,1647.99,1683.81,1721.93,1909.67,1781.41
Ctnna1,2582.21,2604.48,2460.57,2458.7,2460.71,2599.76,2661.18,2554.97,2581.45,2467.77,2337.15,2344.41
Cbx8,237.75,263.03,280.99,221.98,203.99,201.97,333.85,284.44,351.36,247.89,222.56,245.7
Naf1,800.59,819.6,675.99,841.33,874.48,854.21,732.91,702.41,693.96,813.72,694.36,718.92
Slc2a2,0,1,0.98,1,1,1,4,0,1,1,1,4
LOC115489115,6.96,1.44,2.72,1.38,1.36,2.76,1.37,0,0,0,2.67,1.36
Smad9,142.82,124.38,129.62,170.67,154.81,162.19,130.62,122.44,123.26,150.84,144.48,132.42
Ncf4,24.99,36,18.98,18.95,20.99,19.96,22.57,23,20,9,18.72,4
Tacc3,3926.71,4020.93,3999.78,4087.95,4316.08,4040.84,3813.47,3828.97,3855.52,3933.09,3999.43,3995.04
Echdc1,1079.29,1054.07,875.57,1092.77,1139.36,1106.93,1017.56,1114.64,1106.77,1033.18,952.89,1025.42
Dtx3,1836.83,1896.52,2191,1905.26,1894.52,1884.93,2122.69,2102.56,2320.28,1898.1,2219.79,2116.06
Tas2r135,0,1,0,0,0,0,0,0,1,1,0,0
Ophn1,702.6,712.24,633.05,745.53,761,812.14,823.18,783.68,771.24,752.87,785.77,765.67
Treml2,4,2,0,2,0,0.97,0,1,0,3,1,1
